sample_id,treatment,duration,died
OC99,W,15,1
OC97,W,13,1
OC96,W,5,1
OC94,W,9,1
OC90,W,15,1
OC89,W,14,1
OC88,W,14,1
OC87,W,12,1
OC86,W,3,0
OC84,W,7,1
OC83,W,8,0
OC82,W,2,0
OC80,W,10,1
OC79,W,3,0
OC77,W,12,1
OC76,W,1,0
OC75,W,5,0
OC72,W,8,1
OC71,W,2,0
OC69,W,11,1
OC68,W,6,0
OC66,W,9,1
OC65,W,1,0
OC62,W,11,1
OC61,W,8,1
OC60,W,7,0
OC59,W,14,1
OC58,W,15,1
OC55,W,3,0
OC54,W,8,1
OC53,W,13,1
OC52,W,9,1
OC51,W,6,1
OC50,W,1,0
OC49,W,12,0
OC47,W,12,1
OC46,W,4,0
OC42,W,3,1
OC4,W,15,0
OC39,W,9,1
OC37,W,6,1
OC36,W,8,1
OC35,W,5,0
OC33,W,13,0
OC32,W,10,1
OC31,W,14,1
OC28,W,3,0
OC27,W,4,0
OC26,W,1,0
OC252,W,2,0
OC248,W,4,1
OC247,W,7,1
OC245,W,1,0
OC244,W,6,1
OC24,W,3,1
OC239,W,11,1
OC237,W,11,1
OC236,W,4,1
OC233,W,6,0
OC228,W,2,0
OC227,W,8,1
OC226,W,13,1
OC224,W,14,0
OC223,W,10,1
OC220,W,13,1
OC22,W,12,1
OC219,W,12,1
OC216,W,1,0
OC215,W,9,1
OC214,W,5,0
OC213,W,15,1
OC207,W,8,0
OC205,W,14,1
OC204,W,10,1
OC203,W,7,1
OC202,W,3,0
OC201,W,2,0
OC200,W,15,1
OC2,W,5,0
OC199,W,10,1
OC198,W,6,1
OC197,W,1,0
OC195,W,7,0
OC192,W,11,1
OC191,W,9,1
OC190,W,3,0
OC189,W,8,0
OC188,W,13,1
OC187,W,12,1
OC181,W,15,1
OC180,W,7,1
OC18,W,2,0
OC177,W,9,1
OC176,W,5,0
OC175,W,4,1
OC173,W,10,1
OC172,W,11,1
OC171,W,12,1
OC17,W,15,1
OC169,W,2,0
OC166,W,4,0
OC165,W,1,0
OC164,W,4,1
OC163,W,11,1
OC161,W,8,1
OC160,W,6,1
OC159,W,13,1
OC157,W,7,1
OC156,W,6,1
OC154,W,10,1
OC153,W,2,0
OC152,W,12,1
OC150,W,7,1
OC15,W,5,0
OC149,W,11,1
OC147,W,3,1
OC145,W,13,1
OC143,W,5,0
OC142,W,4,0
OC141,W,15,1
OC14,W,8,1
OC139,W,10,1
OC138,W,9,1
OC135,W,1,0
OC134,W,14,1
OC133,W,15,1
OC132,W,7,1
OC130,W,1,0
OC13,W,6,0
OC128,W,13,1
OC127,W,6,1
OC126,W,10,0
OC125,W,14,1
OC124,W,7,1
OC123,W,9,1
OC122,W,2,0
OC12,W,5,0
OC119,W,9,1
OC118,W,10,1
OC117,W,11,1
OC115,W,4,1
OC113,W,5,1
OC112,W,4,1
OC111,W,11,1
OC110,W,13,1
OC11,W,14,1
OC105,W,2,0
OC104,W,12,1
OC103,W,3,1
OC102,W,14,1
